Title_Year,Genre,IMDB Rating,Runtime,Age Rating,Production Country,JustWatch URL
 Maharaja (2024),"Crime, Drama, Mystery & Thriller, Action & Adventure",8.7 (31k),2h 30min,,India,https://www.justwatch.com/in/movie/maharaja-2024
 Kill (2024),"Drama, Mystery & Thriller, Action & Adventure, Crime",7.7 (15k),1h 45min,A,"India,United States",https://www.justwatch.com/in/movie/kill-2024
 Kalki 2898-AD (2024),"Fantasy, Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",7.6 (42k),3h 1min,UA,India,https://www.justwatch.com/in/movie/project-k
 Munjya (2024),"Comedy, Horror",7.2 (15k),2h 3min,,India,https://www.justwatch.com/in/movie/munjha
" The Gangster, the Cop, the Devil (2019)","Crime, Action & Adventure, Mystery & Thriller",6.9 (25k),1h 50min,,"Korea, Republic of",https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
 The Goat Life (2024),Drama,8.2 (12k),2h 51min,UA,"India,United States",https://www.justwatch.com/in/movie/aadujeevitham
 Kingdom of the Planet of the Apes (2024),"Action & Adventure, Science-Fiction, Drama, Mystery & Thriller",7.0 (87k),2h 25min,,United States,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
 Aavesham (2024),"Comedy, Action & Adventure",7.9 (17k),2h 38min,,India,https://www.justwatch.com/in/movie/aavesham-2024
 Family Star (2024),"Action & Adventure, Drama, Comedy, Romance",5.3 (4.3k),2h 39min,,India,https://www.justwatch.com/in/movie/family-star
 Deadpool & Wolverine (2024),"Action & Adventure, Comedy, Science-Fiction",8.1 (152k),2h 8min,A,United States,https://www.justwatch.com/in/movie/deadpool-3
 The Fall Guy (2024),"Romance, Action & Adventure, Comedy, Drama",6.9 (129k),2h 6min,UA,"United States,Australia,Canada",https://www.justwatch.com/in/movie/the-fall-guy
 Furiosa: A Mad Max Saga (2024),"Science-Fiction, Action & Adventure, Mystery & Thriller",7.6 (148k),2h 29min,A,"Australia,United States",https://www.justwatch.com/in/movie/furiosa
 Maharshi (2019),"Drama, Action & Adventure",7.2 (9.9k),2h 56min,UA,India,https://www.justwatch.com/in/movie/maharshi
 Deadpool (2016),"Action & Adventure, Comedy",8.0 (1m),1h 48min,A,United States,https://www.justwatch.com/in/movie/deadpool
 Harom Hara (2024),"Drama, Action & Adventure, Crime",8.2 (2.6k),2h 34min,A,India,https://www.justwatch.com/in/movie/harom-hara
 Srikanth (2024),Drama,7.5 (11k),2h 14min,U,India,https://www.justwatch.com/in/movie/sri-2023
 Dune: Part Two (2024),"Science-Fiction, Action & Adventure, Drama",8.5 (488k),2h 47min,,United States,https://www.justwatch.com/in/movie/dune-part-two
 Garudan (2024),"Action & Adventure, Crime, Mystery & Thriller",7.2 (2.3k),2h 13min,UA,India,https://www.justwatch.com/in/movie/garudan-2024
 Bad Boys: Ride or Die (2024),"Comedy, Mystery & Thriller, Crime, Action & Adventure",6.7 (49k),1h 55min,,United States,https://www.justwatch.com/in/movie/bad-boys-4
 Chandu Champion (2024),"History, Sport, War & Military, Action & Adventure, Drama",8.1 (25k),2h 22min,UA,India,https://www.justwatch.com/in/movie/chandu-champion
 Inside Out (2015),"Action & Adventure, Drama, Comedy, Animation, Kids & Family, Fantasy",8.1 (817k),1h 35min,U,United States,https://www.justwatch.com/in/movie/inside-out
 Kung Fu Panda 4 (2024),"Comedy, Kids & Family, Fantasy, Animation, Action & Adventure",6.3 (50k),1h 34min,U,United States,https://www.justwatch.com/in/movie/kung-fu-panda-4
 The Ministry of Ungentlemanly Warfare (2024),"War & Military, Action & Adventure, Comedy, Drama",6.8 (71k),2h 0min,,"United States,United Kingdom,Turkey",https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare
 365 Days (2020),"Romance, Drama, Made in Europe",3.3 (100k),1h 54min,,Poland,https://www.justwatch.com/in/movie/365-days
 Agent (2023),"Mystery & Thriller, Action & Adventure",4.1 (1.3k),2h 34min,UA,India,https://www.justwatch.com/in/movie/agent
 Godzilla x Kong: The New Empire (2024),"Fantasy, Science-Fiction, Mystery & Thriller, Action & Adventure",6.1 (94k),1h 55min,UA,"Australia,United States",https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire
 Manjummel Boys (2024),"Drama, Mystery & Thriller, Action & Adventure",8.3 (20k),2h 15min,UA,India,https://www.justwatch.com/in/movie/manjummel-boys
 Laapataa Ladies (2024),"Comedy, Drama",8.5 (38k),2h 2min,UA,India,https://www.justwatch.com/in/movie/laapataa-ladies
 Je Jatt Vigarh Gya (2024),Drama,4.7 (448),2h 12min,,India,https://www.justwatch.com/in/movie/je-jatt-vigad-gya
 Bhaiyya Ji (2024),"Action & Adventure, Drama",5.3 (6.5k),2h 30min,,India,https://www.justwatch.com/in/movie/bhaiyaaji
 Civil War (2024),"Action & Adventure, Mystery & Thriller, War & Military, Drama",7.1 (142k),1h 49min,,"United Kingdom,United States",https://www.justwatch.com/in/movie/civil-war-2024-0
 Oppenheimer (2023),"History, Drama",8.3 (777k),3h 0min,UA,"United States,United Kingdom",https://www.justwatch.com/in/movie/oppenheimer
 Maharaj (2024),"Drama, History, Crime, Mystery & Thriller",6.5 (11k),2h 12min,,India,https://www.justwatch.com/in/movie/maharaj
 Mr. & Mrs. Mahi (2024),"Romance, Drama, Sport",6.1 (14k),2h 19min,U,India,https://www.justwatch.com/in/movie/mr-and-mrs-mahi
 Hit Man (2024),"Crime, Comedy, Romance",6.9 (75k),1h 56min,A,United States,https://www.justwatch.com/in/movie/hit-man
 Wild Wild Punjab (2024),"Action & Adventure, Comedy, Romance",6.6 (14k),1h 51min,,India,https://www.justwatch.com/in/movie/wild-wild-punjab
 Dune (2021),"Science-Fiction, Action & Adventure, Drama",8.0 (893k),2h 35min,UA,United States,https://www.justwatch.com/in/movie/dune-2021
 A Quiet Place: Day One (2024),"Horror, Science-Fiction, Mystery & Thriller, Drama",6.5 (60k),1h 39min,,"United Kingdom,Canada,United States",https://www.justwatch.com/in/movie/a-quiet-place-day-one
 Stree (2018),"Horror, Comedy, Drama",7.5 (39k),2h 8min,UA,India,https://www.justwatch.com/in/movie/stree
 Godzilla Minus One (2023),"Horror, Action & Adventure, Science-Fiction, Drama",7.7 (141k),2h 4min,,Japan,https://www.justwatch.com/in/movie/godzilla-minus-one
 Animal (2023),"Drama, Crime, Mystery & Thriller, Action & Adventure",6.2 (96k),3h 24min,A,India,https://www.justwatch.com/in/movie/animal-2022
 Love Lies Bleeding (2024),"Romance, Mystery & Thriller, Crime, Action & Adventure",6.7 (36k),1h 44min,,"United Kingdom,United States",https://www.justwatch.com/in/movie/love-lies-bleeding-2024
 Triangle (2009),"Horror, Fantasy, Science-Fiction, Mystery & Thriller, Made in Europe",6.9 (132k),1h 38min,A,"Australia,United Kingdom",https://www.justwatch.com/in/movie/triangle
 Inside Out 2 (2024),"Animation, Comedy, Drama, Kids & Family, Fantasy",7.8 (92k),1h 37min,U,United States,https://www.justwatch.com/in/movie/inside-out-2
 Deadpool 2 (2018),"Comedy, Action & Adventure, Science-Fiction",7.6 (666k),2h 0min,A,United States,https://www.justwatch.com/in/movie/deadpool-2
 Savi (2024),"Mystery & Thriller, Action & Adventure, Drama, Romance",6.6 (18k),2h 3min,UA,India,https://www.justwatch.com/in/movie/savi-a-bloody-housewife
 Guruvayoor Ambalanadayil (2024),Comedy,6.6 (2.8k),2h 12min,,India,https://www.justwatch.com/in/movie/guruvayoor-ambalanadayil
 12th Fail (2023),Drama,8.9 (124k),2h 26min,,India,https://www.justwatch.com/in/movie/12th-fail
 Maidaan (2024),"Drama, History, Sport",8.1 (17k),3h 1min,,India,https://www.justwatch.com/in/movie/maidaan
 Laila Majnu (2018),"Drama, Romance",7.7 (5.1k),2h 19min,UA,India,https://www.justwatch.com/in/movie/laila-majnu
 Ullozhukku (2024),Drama,7.7 (599),2h 3min,U,India,https://www.justwatch.com/in/movie/ullozhukku
 The Zone of Interest (2023),"Drama, History, War & Military",7.4 (104k),1h 45min,UA,"Poland,United Kingdom,United States",https://www.justwatch.com/in/movie/the-zone-of-interest
 Weapon (2024),"Action & Adventure, Science-Fiction, Mystery & Thriller",7.5 (5.3k),2h 0min,UA,India,https://www.justwatch.com/in/movie/weapon-2024
 Salaar (2023),"Mystery & Thriller, Action & Adventure, Crime, Drama",6.5 (68k),2h 55min,A,India,https://www.justwatch.com/in/movie/salaar
 Longlegs (2024),"Crime, Horror, Mystery & Thriller",7.1 ,1h 41min,A,"United States,Canada",https://www.justwatch.com/in/movie/longlegs
 Perfect Days (2023),Drama,7.9 (52k),2h 4min,,"Germany,Japan",https://www.justwatch.com/in/movie/perfect-days
 Rockstar (2011),"Drama, Music & Musical, Romance",7.8 (50k),2h 39min,UA,India,https://www.justwatch.com/in/movie/rockstar
 Hanu-Man (2024),"Science-Fiction, Fantasy, Action & Adventure",7.8 (26k),2h 39min,UA,India,https://www.justwatch.com/in/movie/hanu-man
 Premalu (2024),"Comedy, Romance",7.9 (14k),2h 36min,U,India,https://www.justwatch.com/in/movie/premalu
 Aranmanai 4 (2024),Horror,5.2 (1.7k),2h 28min,,India,https://www.justwatch.com/in/movie/aranmanai-4
 Siddharth Roy (2024),"Drama, Romance",7.4 (1.9k),2h 28min,A,India,https://www.justwatch.com/in/movie/siddharth-roy
 The Unbearable Weight of Massive Talent (2022),"Action & Adventure, Comedy, Crime, Mystery & Thriller",7.0 (157k),1h 47min,A,United States,https://www.justwatch.com/in/movie/the-unbearable-weight-of-massive-talent
 Addicted (2014),"Drama, Mystery & Thriller, Romance",5.0 (12k),1h 45min,,United States,https://www.justwatch.com/in/movie/addicted
 Hereditary (2018),"Mystery & Thriller, Horror, Drama",7.3 (388k),2h 8min,A,United States,https://www.justwatch.com/in/movie/hereditary
 Ghostbusters: Frozen Empire (2024),"Action & Adventure, Comedy, Fantasy, Science-Fiction",6.1 (64k),1h 55min,,United States,https://www.justwatch.com/in/movie/ghostbusters-frozen-empire
 Mad Max: Fury Road (2015),"Action & Adventure, Science-Fiction, Mystery & Thriller",8.1 (1m),2h 0min,A,"Australia,United States",https://www.justwatch.com/in/movie/mad-max-fury-road
 Harry Potter and the Philosopher's Stone (2001),"Fantasy, Action & Adventure, Kids & Family",7.6 (865k),2h 32min,U,"United States,United Kingdom",https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone
 Challengers (2024),"Romance, Drama, Sport, Comedy",7.2 (85k),2h 12min,A,"Italy,United States",https://www.justwatch.com/in/movie/challengers
 Sam Bahadur (2023),"Drama, War & Military, History",7.7 (18k),2h 30min,UA,India,https://www.justwatch.com/in/movie/sam-bahadur
 Monster (2023),"Mystery & Thriller, Drama",7.8 (26k),2h 5min,,Japan,https://www.justwatch.com/in/movie/monster-2023
 Hridayam (2022),"Drama, Romance",8.1 (16k),2h 52min,U,India,https://www.justwatch.com/in/movie/hridayam
 Jawan (2023),"Action & Adventure, Mystery & Thriller, Crime, Drama",7.0 (98k),2h 49min,UA,India,https://www.justwatch.com/in/movie/jawan
 Satyabhama (2024),"Mystery & Thriller, Crime, Drama",6.7 (1.1k),2h 12min,UA,India,https://www.justwatch.com/in/movie/satyabhama
 Bramayugam (2024),"Drama, Horror, Mystery & Thriller",7.9 (10k),2h 19min,UA,India,https://www.justwatch.com/in/movie/bramayugam
 Babylon (2022),"Drama, Comedy, History",7.1 (174k),3h 9min,A,United States,https://www.justwatch.com/in/movie/babylon-2022
 The Wolf of Wall Street (2013),"Crime, Drama, Comedy",8.2 (2m),3h 0min,A,United States,https://www.justwatch.com/in/movie/the-wolf-of-wall-street
 Kill (2011),"Mystery & Thriller, Comedy, Horror",4.4 (129),1h 30min,,"Canada,United States",https://www.justwatch.com/in/movie/kill
 Tumbbad (2018),"Horror, Drama, Fantasy, Mystery & Thriller, Made in Europe",8.2 (61k),1h 53min,A,"Sweden,India",https://www.justwatch.com/in/movie/tumbbad
 Exhuma (2024),"Horror, Mystery & Thriller",6.9 (13k),2h 14min,UA,"Korea, Republic of",https://www.justwatch.com/in/movie/exhuma
 Malayalee from India (2024),"Action & Adventure, Comedy, Drama",5.8 (4.5k),2h 40min,,India,https://www.justwatch.com/in/movie/malayalee-from-india
 A Quiet Place (2018),"Science-Fiction, Horror, Drama",7.5 (600k),1h 31min,A,United States,https://www.justwatch.com/in/movie/a-quiet-place
 Kakuda (2024),"Comedy, Horror",,1h 57min,,India,https://www.justwatch.com/in/movie/kakuda
 Chandni Chowk to China (2009),"Comedy, Action & Adventure, Drama, Fantasy",4.3 (9.6k),2h 34min,U,"Thailand,China,India",https://www.justwatch.com/in/movie/chandni-chowk-to-china
 Vanished into the Night (2024),"Mystery & Thriller, Drama",5.2 (3.1k),1h 33min,,Italy,https://www.justwatch.com/in/movie/vanished-into-the-night
 Madgaon Express (2024),"Drama, Comedy",7.1 (37k),2h 23min,UA,India,https://www.justwatch.com/in/movie/madgaon-express
 Gladiator (2000),"Action & Adventure, Drama",8.5 (2m),2h 35min,,"United Kingdom,United States",https://www.justwatch.com/in/movie/gladiator
 K.G.F: Chapter 1 (2018),"Mystery & Thriller, Action & Adventure, Crime, Drama",8.2 (100k),2h 36min,UA,India,https://www.justwatch.com/in/movie/k-g-f-chapter-1
 Vikram (2022),"Mystery & Thriller, Action & Adventure, Crime, Drama",8.3 (76k),2h 54min,UA,India,https://www.justwatch.com/in/movie/vikram-2021
 Anyone But You (2023),"Romance, Comedy",6.1 (109k),1h 43min,A,United States,https://www.justwatch.com/in/movie/anyone-but-you
 Sultan (2016),"Romance, Sport, Action & Adventure, Drama",7.1 (53k),2h 50min,UA,India,https://www.justwatch.com/in/movie/sultan
 Aattam (2024),"Drama, Mystery & Thriller",8.2 (2.9k),2h 19min,UA,India,https://www.justwatch.com/in/movie/aattam
 Incendies (2010),"Drama, War & Military, Mystery & Thriller, Made in Europe",8.3 (207k),2h 11min,,"Canada,France",https://www.justwatch.com/in/movie/incendies
 The Holdovers (2023),"Comedy, Drama",7.9 (157k),2h 13min,A,United States,https://www.justwatch.com/in/movie/the-holdovers
 The Witch (2016),"Horror, Drama, Fantasy, Mystery & Thriller, Made in Europe",7.0 (307k),1h 32min,A,"United Kingdom,United States,Brazil,Canada",https://www.justwatch.com/in/movie/the-witch
 Crew (2024),"Comedy, Drama",5.9 (35k),1h 58min,UA,India,https://www.justwatch.com/in/movie/the-crew-2024
 HAIKYU!! The Dumpster Battle (2024),"Animation, Drama, Sport, Comedy",7.8 (3.2k),1h 24min,,Japan,https://www.justwatch.com/in/movie/haikyu-the-movie-decisive-battle-at-the-garbage-dump
 Spider-Man: No Way Home (2021),"Action & Adventure, Science-Fiction, Fantasy",8.2 (896k),2h 28min,UA,United States,https://www.justwatch.com/in/movie/spider-man-no-way-home
 Naa Saami Ranga (2024),"Drama, Action & Adventure",4.4 (934),2h 30min,UA,India,https://www.justwatch.com/in/movie/naa-saami-ranga
 A Hard Day (2014),"Crime, Mystery & Thriller, Action & Adventure",7.2 (17k),1h 51min,,"Korea, Republic of",https://www.justwatch.com/in/movie/a-hard-day
 The Garfield Movie (2024),"Animation, Comedy, Kids & Family, Action & Adventure, Fantasy",5.7 (14k),1h 41min,U,"United Kingdom,United States,Hong Kong",https://www.justwatch.com/in/movie/garfield-2021
 Maharaja (2024),"Crime, Drama, Mystery & Thriller, Action & Adventure",8.7 (31k),2h 30min,,India,https://www.justwatch.com/in/movie/maharaja-2024
 Kill (2024),"Drama, Mystery & Thriller, Action & Adventure, Crime",7.7 (15k),1h 45min,A,"India,United States",https://www.justwatch.com/in/movie/kill-2024
 Kalki 2898-AD (2024),"Fantasy, Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",7.6 (42k),3h 1min,UA,India,https://www.justwatch.com/in/movie/project-k
 Munjya (2024),"Comedy, Horror",7.2 (15k),2h 3min,,India,https://www.justwatch.com/in/movie/munjha
" The Gangster, the Cop, the Devil (2019)","Crime, Action & Adventure, Mystery & Thriller",6.9 (25k),1h 50min,,"Korea, Republic of",https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
 The Instigators (2024),"Action & Adventure, Comedy, Crime, Mystery & Thriller, Drama",6.7 (35),1h 41min,A,United States,https://www.justwatch.com/in/movie/the-instigators
 Daughters (2024),Documentary,8.1 (103),1h 48min,,"United Kingdom,United States",https://www.justwatch.com/in/movie/daughters-2024
 The Union (2024),Mystery & Thriller,,1h 49min,,United States,https://www.justwatch.com/in/movie/the-union
 Nice Girls (2024),"Comedy, Crime, Action & Adventure",,1h 30min,,France,https://www.justwatch.com/in/movie/nice-girls
 Secret Lives of Orangutans (2024),Documentary,,1h 18min,,United Kingdom,https://www.justwatch.com/in/movie/secret-lives-of-orangutans
